Time (s),Abs (au)
35677.8,0.061013192
35740.14,0.061099861
35802.6,0.060938753
35864.82,0.061188813
35927.1,0.060975716
35989.38,0.060756058
36051.66,0.060811318
36113.94,0.06099892
36176.22,0.060997732
36238.56,0.061051354
36300.96,0.060972054
36363.3,0.061058536
36425.58,0.061113149
36487.98,0.061247557
36550.44,0.060807806
36613.2,0.061031275
36675.6,0.061155882
36738,0.061081387
36800.46,0.061357677
36862.68,0.061141934
36924.96,0.060946792
36987.42,0.061102245
37049.76,0.061008841
37112.04,0.061081655
37174.32,0.060928445
37236.6,0.061155554
37298.88,0.061432816
37361.34,0.060985487
37423.62,0.060853425
37485.9,0.061131179
37548.18,0.060822278
37610.58,0.061479691
37673.34,0.061174627
37735.68,0.061096076
37798.2,0.061167683
37860.48,0.06113416
37922.88,0.061272684
37985.16,0.061145063
38047.5,0.061213311
38109.78,0.061749194
38172.12,0.061048169
38234.7,0.061381858
38296.98,0.06100345
38359.26,0.061497618
38421.6,0.061170992
38483.88,0.061120689
38546.16,0.061480261
38608.44,0.061254114
38670.96,0.061349895
38733.3,0.061057493
38795.64,0.06160073
38857.92,0.061363041
38920.32,0.061444085
38982.66,0.061208066
39044.88,0.061274592
39107.28,0.061204847
39169.62,0.061442357
39232.08,0.061436482
39294.3,0.061331559
39357,0.061466541
39419.76,0.061091606
39482.1,0.061440241
39544.5,0.061355144
39606.9,0.061612722
39669.18,0.061356336
39731.52,0.061481662
39793.8,0.061256498
39856.08,0.061686918
39918.54,0.061344229
39980.94,0.061608098
40043.4,0.061323781
40105.8,0.061385464
40168.08,0.061602637
40230.42,0.061617345
40292.7,0.061292954
40355.04,0.061459593
40417.38,0.061372165
40479.72,0.061265562
40542.12,0.061316386
40604.4,0.061745461
40666.98,0.061753459
40729.26,0.061630979
40791.78,0.061644673
40854.18,0.061626535
40916.46,0.06157266
40978.86,0.062041704
41041.14,0.061517332
41103.54,0.061371777
41165.82,0.061803836
41228.28,0.061721738
41290.56,0.061847948
41352.96,0.061741851
41415.36,0.061312124
41477.88,0.061496306
41540.22,0.061659321
41602.44,0.061724216
41664.84,0.061735943
41727.18,0.061925471
41789.52,0.061961833
41851.98,0.061633486
41914.32,0.061881021
41976.66,0.061639331
42039.06,0.061799865
42101.34,0.061903261
42163.8,0.061914753
42226.2,0.061626296
42288.66,0.062205464
42351,0.061814372
42413.46,0.061735108
42475.74,0.061949443
42538.14,0.061915677
42600.54,0.061478917
42663.06,0.062049616
42725.64,0.062065743
42788.04,0.061624266
42850.38,0.062131654
42912.66,0.062098503
42975.06,0.061869618
43037.58,0.061973326
43100.16,0.061812311
43162.5,0.061842367
43225.08,0.062533975
43287.54,0.06201065
43349.88,0.062142946
43412.46,0.062093187
43474.98,0.062194292
43537.26,0.062095996
43599.72,0.062128101
43662,0.06224633
43724.4,0.061945263
43786.68,0.062216904
43849.08,0.062305041
43911.42,0.062652491
43973.76,0.062032297
44036.16,0.062200025
44098.44,0.062911175
44160.72,0.061740719
44223.06,0.062270083
44285.58,0.062394716
44348.04,0.062376395
44410.32,0.062081482
44472.6,0.062317736
44535.06,0.062175352
44597.4,0.062347438
44659.74,0.062186047
44722.38,0.062305786
44784.66,0.06244164
44847.12,0.062567398
44909.7,0.06268473
44972.16,0.062434915
45034.62,0.062424421
45096.9,0.062215172
45159.36,0.062104177
45221.7,0.062201969
45284.04,0.062402006
45346.62,0.062316485
45409.02,0.062154923
45471.42,0.06216424
45533.76,0.062439725
45596.4,0.062468838
45659.1,0.062501751
45721.44,0.062344331
45783.78,0.062663525
45846.36,0.063045688
45908.76,0.06255433
45971.16,0.062550895
46033.56,0.062160656
46095.84,0.062722862
46158.24,0.062681623
46220.52,0.062513947
46282.92,0.062851094
46345.26,0.062729828
46407.72,0.062712334
46470,0.062832043
46532.46,0.06292709
46594.86,0.06276013
46657.26,0.06271024
46719.54,0.062708296
46781.82,0.062590629
46844.46,0.06284377
46906.74,0.062777564
46969.14,0.06264475
47031.6,0.062736861
47093.94,0.062651269
47156.4,0.063096665
47218.68,0.062963746
47281.14,0.062877633
47343.42,0.062797755
47406.12,0.062757134
47468.52,0.063067026
47530.8,0.062699743
47593.2,0.063128486
47655.6,0.062785104
47717.94,0.062870242
47780.4,0.062921524
47842.98,0.062902704
47905.26,0.063302204
47967.72,0.063061312
48030.36,0.063093044
48092.7,0.062982872
48155.28,0.063264504
48217.56,0.063124925
48280.02,0.063030422
48342.3,0.063105941
48404.58,0.062826984
48466.98,0.063209049
48529.32,0.06341809
48591.6,0.063235126
48654.18,0.063214742
48716.7,0.063353032
48779.16,0.063250192
48841.5,0.063551083
48904.08,0.063416801
48966.36,0.063339256
49028.7,0.063197792
49091.04,0.063488796
49153.38,0.062818967
49215.96,0.063741162
49278.36,0.063210994
49340.7,0.063085951
49403.1,0.062797397
49465.56,0.062936276
49527.9,0.063323773
49590.72,0.063011184
49653.24,0.06345167
49715.64,0.063181117
49778.04,0.062809333
49840.5,0.062908418
49902.96,0.063273638
49965.54,0.062667206
50027.88,0.062818132
50090.4,0.062929817
50152.68,0.062775746
50215.32,0.063061818
50277.72,0.062827975
50340,0.062656172
50402.4,0.062668853
50464.8,0.06370154
50527.2,0.062903844
50589.6,0.062706441
50652.18,0.062939778
